------------------------------------------
Starting Logging:16:17:47.384181
Data Format...
hour:min:sec.milli:bus_current,bus_voltage,vehicle_velocity,motor_velocity,phase_a_current,phase_b_current,dc_bus_amphours,odometer
------------------------------------------
16:17:48.843794:394,0,0,0,0,0,0,0
16:17:49.847063:274,0,0,0,220,462,685,0
16:17:50.849670:384,0,0,0,485,387,685,0
16:17:51.853084:300,0,0,0,395,307,685,0
16:17:52.855493:279,0,0,0,345,612,685,0
16:17:53.858200:307,0,0,0,485,422,685,0
16:17:54.861453:300,0,0,0,265,712,685,0
16:17:55.864084:436,0,0,0,265,712,685,0
16:17:56.866656:462,0,0,0,440,422,685,0
16:17:57.869297:513,0,0,0,220,282,685,0
16:17:58.874873:459,0,0,0,215,422,685,0
16:17:59.877377:508,0,0,0,265,422,685,0
16:18:00.879908:405,0,0,0,385,422,685,0
16:18:01.886713:434,0,0,0,315,422,685,0
16:18:02.889434:435,0,0,0,315,422,685,0
16:18:05.319462:334,0,0,0,470,427,685,0
16:18:06.321423:424,0,0,0,470,427,685,0
16:18:07.324058:424,0,0,0,280,212,685,0
16:18:08.327399:285,0,0,0,350,447,685,0
16:18:09.331033:359,0,0,0,280,262,685,0
16:18:10.333677:406,0,0,0,440,282,685,0
16:18:11.337004:346,0,0,0,345,307,685,0
16:18:12.340154:409,0,0,0,85,262,685,0
16:18:13.349137:418,0,0,0,265,312,685,0
16:18:14.368038:418,0,0,0,245,712,685,0
16:18:15.370572:480,0,0,0,470,262,685,0
16:18:16.373249:447,0,0,0,290,282,685,0
16:18:17.375724:332,0,0,0,110,712,685,0
16:18:18.378305:381,0,0,0,260,307,685,0
16:18:19.387327:442,0,0,0,85,447,685,0
16:18:20.391432:428,0,0,0,330,262,685,0
16:18:21.394097:281,0,0,0,330,262,685,0
16:18:22.396634:464,0,0,0,290,307,685,0
16:18:23.399148:273,0,0,0,490,504,685,0
16:18:24.407205:306,0,0,0,215,447,685,0
16:18:25.409860:288,0,0,0,315,307,685,0
16:18:26.412563:414,0,0,0,280,262,685,0
16:18:27.415921:489,0,0,0,265,422,685,0
16:18:29.421289:300,0,0,0,245,212,685,0
16:18:30.423845:503,0,0,0,490,387,685,0
16:18:31.426261:330,0,0,0,290,422,685,0
16:18:32.428796:368,0,0,0,260,282,685,0
16:18:33.431429:405,0,0,0,85,282,685,0
16:18:34.437233:405,0,0,0,390,307,685,0
16:18:35.439773:402,0,0,0,490,307,685,0
16:18:36.441451:390,0,0,0,490,712,685,0
16:18:37.444062:278,0,0,0,485,422,685,0
16:18:38.447521:279,0,0,0,265,387,685,0
16:18:39.455117:428,0,0,0,440,312,685,0
16:18:40.458454:364,0,0,0,395,422,685,0
16:18:41.461311:364,0,0,0,85,342,685,0
16:18:42.463886:436,0,0,0,245,447,685,0
16:18:43.467440:470,0,0,0,470,372,685,0
16:18:44.473271:488,0,0,0,320,312,685,0
16:18:45.476621:336,0,0,0,315,462,685,0
16:18:46.480045:434,0,0,0,110,447,685,0
16:18:47.483461:285,0,0,0,490,307,685,0
16:18:48.485984:411,0,0,0,290,212,685,0
16:18:49.488754:344,0,0,0,385,472,685,0
16:18:50.491344:389,0,0,0,315,342,685,0
16:18:51.493083:348,0,0,0,440,307,685,0
16:18:52.495639:504,0,0,0,265,307,685,0
16:18:53.498170:317,0,0,0,350,422,685,0
16:18:54.504571:342,0,0,0,85,372,685,0
16:18:55.507137:499,0,0,0,385,282,685,0
16:18:57.511608:497,0,0,0,315,447,685,0
16:18:58.514276:454,0,0,0,315,307,685,0
